Security	bǎoān	保安
Firefighter	xiāofángduìyuán	消防队员
Police Officer	jǐngguān	警官
Nurse	hùshi	护士
Camera man	shèyǐngshī	摄影师
Manager	jīnglǐ	经理
Programmer	chéngxùyuán	程序员
Receptionist	jiēdàiyuán	接待员
Chef	chúshī	厨师
Actor	yǎnyuán	演员
Vet	shòuyī	兽医
Architect	jiànzhùshī	建筑师
Author	zuòzhě	作者
Farmer	nóngmín	农民
Financial Advisor	cáiwùgùwèn	财务顾问
Waiter	fúwùyuán	服务员
Barista	kāfēishī	咖啡师
Lawyer	lǜshī	律师
Bartender	tiáojiǔshī	调酒师
Chemist	huàxuéjiā	化学家
Comedian	xǐjùyǎnyuán	喜剧演员
Electrician	diàngōng	电工
Plumber	shuǐguǎn gōngrén	水管工人
Fashion designer	shízhuāng shèjìshī	时装设计师
Film Director	diànyǐng dǎoyǎn	电影导演
Hairdresser	měifàshī	美发师
Lifeguard	jiùshēngyuán	救生员
President	zǒngtǒng	总统
Soldier	shìbīng	士兵
Stuntman	tèjì yǎnyuán	特技演员
TV Presenter	diànshìjiémù zhǔchírén	电视节目主持人
